crossing time (s)	slope (V/s)	crossing number
4289.043869	5.655576	2633
4290.050692	5.141514	2634
4291.076087	5.415393	2635
4292.087605	4.780245	2636
4293.114698	5.151045	2637
4294.123483	5.491107	2638
4295.154147	5.959661	2639
4296.160483	6.634641	2640
4297.192518	6.407708	2641
4298.200541	6.785671	2642
4299.233203	6.115718	2643
4300.237785	6.679044	2644
4301.272289	5.948675	2645
4302.271518	6.695644	2646
4303.308659	6.077823	2647
4304.309635	7.109808	2648
4305.345766	6.284124	2649
4306.348250	7.249668	2650
4307.382237	6.150184	2651
4308.387401	7.141452	2652
4309.418442	6.469399	2653
4310.425685	6.973341	2654
4311.453019	6.809848	2655
4312.465178	6.729087	2656
4313.489400	6.522224	2657
4314.503036	6.452257	2658
4315.530484	6.285653	2659
4316.538412	6.368871	2660
4317.572245	6.958094	2661
4318.572966	6.622300	2662
4319.615092	8.100204	2663
4320.608801	7.243902	2664
4321.651998	8.456457	2665
4322.645603	7.421899	2666
4323.690405	7.762544	2667
4324.683024	7.125824	2668
4325.724753	7.033700	2669
4326.723541	6.559335	2670
4327.759936	7.230285	2671
4328.766730	7.162944	2672
4329.794971	7.967371	2673
4330.805470	7.984733	2674
4331.831074	8.594293	2675
4332.843826	8.159720	2676
4333.867645	8.101816	2677
4334.880174	7.828616	2678
4335.906954	7.521097	2679
4336.915036	7.567938	2680
4337.946285	7.200368	2681
4338.951961	7.430637	2682
4339.984377	7.436850	2683
4340.990549	7.637417	2684
4342.022968	7.990762	2685
4343.028781	7.693126	2686
4344.059500	8.175532	2687
4345.067122	7.915979	2688
4346.095002	8.189995	2689
4347.107160	7.999878	2690
4348.131731	8.157922	2691
4349.145585	8.138892	2692
4350.169645	8.293394	2693
4351.182525	8.406950	2694
4352.207464	9.032936	2695
4353.218859	9.261162	2696
4354.243916	9.602273	2697
4355.256166	9.923288	2698
4356.284274	9.234063	2699
4357.291067	9.482485	2700
4358.326835	8.490171	2701
4359.324431	8.731018	2702
4360.367872	8.314972	2703
4361.360212	8.181225	2704
4362.405695	9.273283	2705
4363.400364	8.633601	2706
4364.439381	10.235279	2707
4365.440618	9.390248	2708
4366.474595	10.175684	2709
4367.480448	9.795191	2710
4368.509322	9.746567	2711
4369.520115	9.143511	2712
4370.544190	8.991716	2713
4371.558067	8.861623	2714
4372.582461	8.818963	2715
4373.596159	9.230697	2716
4374.620280	9.413100	2717
4375.634348	9.690796	2718
4376.657140	10.440359	2719
4377.671117	10.444299	2720
4378.694995	11.091283	2721
4379.708900	11.012478	2722
4380.730642	11.371244	2723
4381.745926	11.576239	2724
4382.767904	11.656141	2725
4383.783919	11.706198	2726
4384.805048	11.677963	2727
4385.820773	11.486209	2728
4386.843119	11.420721	2729
4387.858512	10.938956	2730
4388.882048	10.692285	2731
4389.893779	10.219052	2732
4390.920625	9.932111	2733
4391.931165	9.666783	2734
4392.965463	9.902022	2735
4393.966156	9.629519	2736
4395.003795	10.649837	2737
4396.003037	10.038114	2738
4397.041841	11.406954	2739
4398.037836	10.572400	2740
4399.078989	11.616686	2741
4400.075408	10.482209	2742
4401.115242	11.206301	2743
4402.112760	10.262034	2744
4403.151115	10.816984	2745
4404.152413	9.817236	2746
4405.186246	10.674076	2747
4406.193644	10.149232	2748
4407.222562	11.134979	2749
4408.232989	10.884889	2750
4409.257743	11.299244	2751
4410.267690	11.078716	2752
4411.292840	11.381358	2753
4412.305143	11.096951	2754
4413.328205	11.012327	2755
4414.341397	10.925039	2756
4415.362618	10.472321	2757
4416.378074	10.929560	2758
4417.400168	10.237574	2759
4418.413826	10.356331	2760
4419.437550	10.065969	2761
4420.451428	10.246113	2762
4421.475905	10.222410	2763
4422.489031	9.934819	2764
4423.511612	9.869881	2765
4424.524645	9.801135	2766
4425.550445	10.038667	2767
4426.559877	10.103367	2768
4427.588397	10.354389	2769
4428.594643	10.081124	2770
4429.625227	10.424138	2771
